Time,X,Y,Z
0.006,0.11022,-0.21037,0.20235
0.015,0.12135,-0.23124,0.22241
0.025,0.12225,-0.23316,0.22434
0.034,0.12266,-0.23386,0.22453
0.044,0.12303,-0.23376,0.22489
0.053,0.12263,-0.23366,0.22475
0.062,0.12249,-0.23365,0.22457
0.072,0.12226,-0.23349,0.22455
0.081,0.12288,-0.23347,0.2243
0.09,0.12283,-0.23355,0.2241
0.1,0.12218,-0.23339,0.22476
0.109,0.12255,-0.23338,0.22474
0.118,0.12194,-0.23338,0.22457
0.128,0.12209,-0.23262,0.22455
0.137,0.12179,-0.23297,0.22455
0.147,0.12186,-0.23342,0.22455
0.156,0.12252,-0.23346,0.22489
0.165,0.12237,-0.23338,0.22433
0.175,0.12192,-0.23371,0.22487
0.184,0.12241,-0.23358,0.22441
0.193,0.12203,-0.2334,0.22454
0.203,0.12253,-0.23338,0.22472
0.212,0.12248,-0.23338,0.22457
0.221,0.12215,-0.23338,0.2248
0.231,0.12233,-0.23338,0.22474
0.24,0.12267,-0.23321,0.22499
0.249,0.12227,-0.23319,0.22527
0.259,0.12223,-0.23369,0.22521
0.268,0.12234,-0.23357,0.22478
0.278,0.12203,-0.23339,0.22499
0.287,0.12253,-0.23379,0.22459
0.296,0.12194,-0.23358,0.22472
0.306,0.12155,-0.23323,0.2249
0.315,0.12152,-0.23303,0.22484
0.324,0.12184,-0.23292,0.225
0.334,0.12219,-0.23325,0.22518
0.343,0.12233,-0.23311,0.22495
0.352,0.12192,-0.23335,0.22484
0.362,0.12166,-0.23346,0.22466
0.371,0.12174,-0.23355,0.22507
0.38,0.12197,-0.23339,0.22494
0.39,0.12231,-0.23338,0.22518
0.399,0.12191,-0.23321,0.22495
0.409,0.12209,-0.23319,0.22493
0.418,0.12189,-0.23336,0.22501
0.427,0.12209,-0.23362,0.22451
0.437,0.12222,-0.23348,0.22404
0.446,0.12212,-0.23372,0.2245
0.455,0.12179,-0.23308,0.22471
0.465,0.12186,-0.23368,0.22457
0.474,0.12209,-0.23341,0.22422
0.483,0.12222,-0.23388,0.2246
0.493,0.12201,-0.23359,0.22514
0.502,0.12178,-0.23398,0.22461
0.512,0.12208,-0.23402,0.22464
0.521,0.122,-0.23394,0.22481
0.53,0.12167,-0.23343,0.22458
0.54,0.12207,-0.23422,0.22472
0.549,0.122,-0.23371,0.22474
0.558,0.12145,-0.23408,0.22482
0.568,0.12183,-0.23386,0.22483
0.577,0.12122,-0.23359,0.22433
0.586,0.12202,-0.23373,0.22453
0.596,0.12189,-0.23349,0.22497
0.605,0.12133,-0.23314,0.22476
0.614,0.12225,-0.23335,0.22482
0.624,0.12245,-0.23387,0.22508
0.633,0.12236,-0.23334,0.22477
0.643,0.12203,-0.23337,0.2244
0.652,0.12167,-0.23337,0.22479
0.661,0.1212,-0.23388,0.22457
0.671,0.12127,-0.23368,0.22447
0.68,0.12149,-0.23315,0.22488
0.689,0.1214,-0.23285,0.22509
0.699,0.12139,-0.2329,0.22511
0.708,0.1215,-0.23341,0.22461
0.717,0.1214,-0.23296,0.22481
0.727,0.12172,-0.23325,0.22491
0.736,0.12153,-0.23286,0.22518
0.746,0.12205,-0.23274,0.2252
0.755,0.122,-0.23314,0.22537
0.764,0.12253,-0.23352,0.22514
0.774,0.1228,-0.23372,0.22478
0.783,0.12218,-0.23366,0.22474
0.792,0.12233,-0.23391,0.2244
0.802,0.12202,-0.23426,0.2247
0.811,0.12178,-0.23363,0.22465
0.82,0.12262,-0.23348,0.22481
0.83,0.12248,-0.23339,0.22466
0.839,0.1215,-0.23379,0.22448
0.848,0.12237,-0.2335,0.22454
0.858,0.12268,-0.23372,0.22472
0.867,0.12217,-0.23341,0.22474
0.877,0.12233,-0.23338,0.22507
t,x,y,z
